platform,komentar,timestamp,sentimen,komentar_bersih
twitter,"Warga X ini bebal², dikasitau yg bener malah menghujat... 
Diharuskan vasektomi spya anak lu keurus, gak mikir lu tiap ng3nt0t beranak mulu tp anak lu gak keurus? 
Punya bnyk anak trs ekonomi sulit ujung²nya nyalahin pemerintah mulu lu SDM Rendah!!!",2025-04-30T23:33:16.000Z,positif,warga x bebal dikasitau yg bener hujat harus vasektomi spya anak lu urus gak mikir lu ngntt anak mulu tp anak lu gak urus bnyk anak trs ekonomi sulit ujung nyalahin perintah mulu lu sdm rendah
twitter,"Nahh ini, tapi org2 kyk gtu ngecounter nya pake kalimat “kb dan vasektomi itu haram”
Giliran anak banyak tp gk bertanggung jawab dan gapunya penghasilan lalu hidup susah malaj nyalahin pemerintah aja. 🫩",2025-04-30T23:32:53.000Z,positif,nahh org kyk gtu ngecounter nya pake kalimat kb vasektomi haram gilir anak tp gk tanggung gapunya hasil hidup susah malaj nyalahin perintah aja
twitter,Dari sekian banyak KB buat laki2 kenapa milih vasektomi?,2025-04-30T23:32:45.000Z,netral,sekian kb laki milih vasektomi
twitter,"1. kerjasama sama militer 
2. pemerataan sudah mulai dilakukan dengan lomba antar desa, setiap desa di Jawa Barat akan diperlihatkan mana yang terbaik dan terburuk (rapat yang sama dengan rapat vasektomi)
3. dana hibah pesantren dipotong, disalurkan ke sekolah dan madrasah jelek.",2025-04-30T23:32:45.000Z,positif,kerjasama militer perata lomba desa desa jawa barat baik buruk rapat rapat vasektomi dana hibah pesantren potong salur sekolah madrasah jelek
twitter,"Lu yg pake logika, hanya karna lu miskin dan butuh bantuan trus lu harus vasektomi???... kalo bantu ya bantu aja Jing... Besok2 KLO Nerima bansos harus angkat rahim  boleh juga dong???",2025-04-30T23:32:00.000Z,positif,lu yg pake logika karna lu miskin butuh bantu trus lu vasektomi kalo bantu ya bantu aja jing besok klo nerima bansos angkat rahim
twitter,"dari respon orang tentang kebijakan vasektomi ini aku selalu berharap jangan sampe aku jadi fasis, kalo udah melenceng dikit semoga cepet tercerahkan, ga keras kepala",2025-04-30T23:31:58.000Z,negatif,respon orang bijak vasektomi harap sampe fasis kalo udah lenceng dikit moga cepet cerah ga keras kepala
twitter,"orang kok pada salah tangkep soal vasektomi. itu kan kaga ada pemaksaan njir

bener2 dah masyrakatnya ini kaga ketolong",2025-04-30T23:31:46.000Z,positif,orang salah tangkep vasektomi kaga paksa njir bener dah masyrakatnya kaga tolong
twitter,"Ckck gw ngomong gini karena kalian itu pada ga liat realita, kebanyakan bapak-bapak apalagi di desa kalo ga diiming-imingi sesuatu ga bakal mau ngelakuin, boro-boro ngelakuin, vasektomi aja mereka belum tentu mau tahu. Selama ini yg berkorban buat kb kebanyakan ibu²",2025-04-30T23:30:42.000Z,positif,ckck gw ngomong gin ga liat realita banyak bapakbapak desa kalo ga diimingimingi ga ngelakuin boroboro ngelakuin vasektomi aja yg korban kb banyak
twitter,"Ready vcs cs cek bio 

Panen raya nyetrika selamat hari buruh 23 tahun pks vasektomi 1 juta berita tempo",2025-04-30T23:30:27.000Z,netral,ready vcs cs cek bio panen raya nyetrika selamat buruh pks vasektomi juta berita tempo
twitter,"Vasektomi dengan kemauan sendiri?
Engga, biar dapet bansos dan kebagian program pemerintah. 
Semua orang miskin ikutan vasektomi?
Pemerintah: yey budgetnya buat kita gesss",2025-04-30T23:30:11.000Z,positif,vasektomi mau engga biar dapet bansos bagi program perintah orang miskin ikut vasektomi perintah yey budgetnya gesss
twitter,"Islam mengizinkan keluarga berencana (KB) sementara berdasarkan Al-Qur'an (Surah Al-Baqarah 2:233) dan Hadis (Sahih Muslim 1440a) tentang 'azl. Vasektomi, karena permanen, umumnya dianggap haram karena mengubah ciptaan Allah (IslamQA 223445). KB diperbolehkan untuk alasan syar'i",2025-04-30T23:30:11.000Z,netral,islam izin keluarga rencana kb dasar alquran surah albaqarah hadis sahih muslim a azl vasektomi permanen anggap haram ubah cipta allah islamqa kb boleh alas syar
twitter,Semua2 dibebanin ke rakyat. Gak dapet bansos aja pengen dibebanin ke rakyat (syarat vasektomi),2025-04-30T23:30:08.000Z,positif,dibebanin rakyat gak dapet bansos aja ken dibebanin rakyat syarat vasektomi
twitter,"mute kata ""vasektomi"" dulu ",2025-04-30T23:29:52.000Z,positif,mute vasektomi
twitter,"Yg Pemerintah (Jabar) lakuin saat ini justru ngerusak kesadaran yg udh mulai terbangun, + penunggang yg pelintir jd ribut gender ini jg bikin resistensi soal vasektomi tinggi.

Tp ini nunjukin kl kesadaran kelas itu penting. Seneng banyak yg aware & ga kepancing ribut horizontal.",2025-04-30T23:29:20.000Z,positif,yg perintah jabar lakuin ngerusak sadar yg udh bangun tunggang yg pelintir jd ribut gender jg bikin resistensi vasektomi tp nunjukin kl sadar kelas neng yg aware ga pancing ribut horizontal
twitter,"Dikira gw gatau kali ya wkwk tau vasektomi juga udah ada, penyuluhan vasektomi tiap minggu ada di posyandu desa kok. Tp yg daftar? Gaada, diibanding data per bulan ibu-ibu desa yg daftar kb.",2025-04-30T23:27:35.000Z,netral,gw gatau kali ya wkwk tau vasektomi udah suluh vasektomi minggu posyandu desa tp yg daftar gaada diibanding data ibuibu desa yg daftar kb
twitter,"Dalam Islam, KB (keluarga berencana) umumnya diperbolehkan jika menggunakan metode yang reversibel, seperti kondom atau pil KB, karena tidak mengubah ciptaan Allah secara permanen. Namun, vasektomi sering dianggap haram karena bersifat permanen, menghilangkan kemampuan",2025-04-30T23:26:48.000Z,positif,islam kb keluarga rencana boleh metode reversibel kondom pil kb ubah cipta allah permanen vasektomi anggap haram sifat permanen hilang mampu
twitter,"mohon maaf vasektomi itu permanen ya, kemiskinan itu tidak... 

logika simple...",2025-04-30T23:26:46.000Z,positif,mohon maaf vasektomi permanen ya miskin logika simple
twitter,"Dalam kasus ini, vasektomi ngga dipaksa. Kalo mau terima bansos, kondisi udh punya 2 anak, yaa harus vasektomi.

Klo ternyata anaknya banyak, dgn asumsi keluarganya mampu, artinya gausah terima bansos.",2025-04-30T23:26:42.000Z,positif,vasektomi ngga paksa kalo terima bansos kondisi udh anak yaa vasektomi klo anak dgn asumsi keluarga gausah terima bansos
twitter,"Segitu gampangnya pun kau buat jadi ribet, gak mau vasektomi lu tidak dapat bansos. Itu! 
Kalau lu mau bantuan ikuti aturannya. Jangan lu enak2 nambah anak terus tapi yg kasih makannya negara memakai uang pajak warga negara.",2025-04-30T23:26:22.000Z,positif,segitu gampang kau ribet gak vasektomi lu bansos lu bantu ikut atur lu enak nambah anak yg kasih makan negara pakai uang pajak warga negara
twitter,Mungkin mikir nya abis vasektomi pler nya ilang satu,2025-04-30T23:26:10.000Z,positif,mikir nya abis vasektomi pler nya ilang
twitter,"Yang pantes divasektomi itu si Mulyadi dan keluarganya, Mulyono dan keluarganya, pejabat korupsi kolusi nepotisme dengan keluarganya...biar gen jelek yang ada di darahnya pada punah dan mati semua...di Indon malah orang miskin g punya power disuruh vasektomi...anjing indog",2025-04-30T23:25:32.000Z,positif,pantes vasektomi si mulyadi keluarga mulyono keluarga jabat korupsi kolusi nepotisme keluarganyabiar gen jelek darah punah mati semuadi indon orang miskin g power suruh vasektomianjing indog
twitter,"Di dunia yang minim aspek keTuhanan dan keagamaan aja masih menghargai kualitas kesehatan sperm karena sperm adalah cikal bakal kelangsungan kehidupan manusia. 
Eh di Jabar ada kepala daerah yang mayoritasnya beragama, malah mau memotong saluran produksi sperm lewat vasektomi.",2025-04-30T23:25:00.000Z,positif,dunia minim aspek tuhan agama aja harga kualitas sehat sperm sperm cikal langsung hidup manusia eh jabar kepala daerah mayoritas agama potong salur produksi sperm vasektomi
twitter,"Bantuan kpd org miskin = kewajiban negara.
Mengentas kemiskinan = kewajiban negara.
Solusi negara = yg gak vasektomi gak dpt bantuan. Besok2 ada syarat lain2, misal yg gk milih Mulyadi gak dpt bantuan. Tp tetap miskin sih... ",2025-04-30T23:24:33.000Z,positif,bantu kpd org miskin wajib negara entas miskin wajib negara solusi negara yg gak vasektomi gak dpt bantu besok syarat yg gk milih mulyadi gak dpt bantu tp miskin sih
twitter,"Vasektomi dr dulu sudah ada, tapi berapa persen laki-laki yg sukarela ikut?? Dibanding cewek yg sukarela ikut program kb?? Pernah main ke posyandu di desa-desa? Pernah ikutan penyuluhan kb di desa-desa? Setelah di data, kebanyakan yg sukarela & mau ikut kb itu cuma ibu²",2025-04-30T23:24:30.000Z,positif,vasektomi dr persen lakilaki yg sukarela banding cewek yg sukarela program kb main posyandu desadesa ikut suluh kb desadesa data banyak yg sukarela kb
twitter,"@grok
 Kenapa KB dan vasektomi  itu Haram?",2025-04-30T23:24:14.000Z,positif,grok kb vasektomi haram
twitter,"https://x.com/rsky_apns/status/1917188451822452790…

Yang gue maksud di sini itu komentarnya KDM soal vasektomi tapi harus dilakukan kalau mau dapetin bansos.

Lalu yang kedua itu komentar orang kalau kita melihat vasektomi bukan dari komentar ya KDM tapi sebagai vasektomi itu sendiri.",2025-04-30T23:23:53.000Z,netral,gue maksud komentar kdm vasektomi dapetin bansos komentar orang vasektomi komentar ya kdm vasektomi
twitter,"Aku bakal setuju sama ini kalau
1. Vasektominya untuk seluruh kalangan orang miskin
2. Ini alokasi bansos dan beasiswa yang sudah ada, yang hanya akan dikasih ke keluarga miskin yang ikut vasektomi

Tapi sejauh yang aku tau, ini bukan tujuan dari rencana itu, cmiiw thoigh",2025-04-30T23:23:46.000Z,positif,tuju vasektomi kalang orang miskin alokasi bansos beasiswa kasih keluarga miskin vasektomi tau tuju rencana cmiiw thoigh
twitter,"Banyak orang miskin ga punya akses informasi yang memadai. Sumber info mereka mentok di TV, belum lagi budaya ""banyak anak banyak rezeki"" masih mengakar kuat. Tanpa pendidikan, pola pikir ini sulit diubah. Maksa vasektomi bukan solusi, malah terkesan menghukum mereka.",2025-04-30T23:18:33.000Z,positif,orang miskin ga akses informasi pada sumber info mentok tv budaya anak rezeki akar kuat didik pola pikir sulit ubah maksa vasektomi solusi kes hukum
twitter,"Baru-baru ini, ada wacana kebijakan vasektomi sebagai syarat menerima bansos biar orang miskin ""engga beranak terus."" Tapi, benarkah ini solusi yang tepat? Atau justru diskriminatif dan mengabaikan akar masalah?",2025-04-30T23:18:26.000Z,positif,barubaru wacana bijak vasektomi syarat terima bansos biar orang miskin engga anak solusi diskriminatif abai akar
twitter,"Seharusnya fokus pd pemerataan aja.. Kl anggaran bansos segitu ywdh gk usah ribet pke syarat2 KB segala, jd gk ada istilah byk anak trs bansos nya nambah, gk jg kan.. Tp program KB emg hrs ttp hrs jln khususnya utk rakyat miskin, tp jgn yg vasektomi kan ada yg lain spt IUD/kondom",2025-04-30T23:18:10.000Z,positif,fokus pd perata aja kl anggar bansos segitu ywdh gk ribet pke syarat kb jd gk istilah byk anak trs bansos nya nambah gk jg tp program kb emg hrs ttp hrs jln utk rakyat miskin tp jgn yg vasektomi yg spt iudkondom
twitter,Saya mau ikut vasektomi kalau si Mulyadi dan keluarganya juga ikut vasektomi...,2025-04-30T23:17:55.000Z,netral,vasektomi si mulyadi keluarga vasektomi
twitter,"Woy jing. Vasektomi ya buat laki², terus korelasi lu tanya gini apa?? Ya kalo udah di vasektomi ya udah kaga bisa ngehamilin. Lagian lahiran SC itu harus ada indikasinya dulu, sebab dan akibat. Gak yg tiba² pen SC, apalagi kalo pake BPJS.",2025-04-30T23:17:54.000Z,positif,woy jing vasektomi ya laki korelasi lu gin ya kalo udah vasektomi ya udah kaga ngehamilin lahir sc indikasi akibat gak yg pen sc kalo pake bpjs
twitter,"Skill issue berarti

Kalau mau y dibilang aja mulai sekarang semua bansos dihentikan 

Terus ada program baru vasektomi dapat bansos bagi yg membutuhkan.

Emang sih JD ada 2 perda",2025-04-30T23:17:50.000Z,positif,skill issue y bilang aja bansos henti program vasektomi bansos yg butuh emang sih jd perda
twitter,"Setiap ada kata ""vasektomi"" Pasti pada kebakaran jembut, heboh bener sampai bahas hak asasi mereka. Lah terus gimana dengan cewek yang dipaksa KB? gak ngerebut hak asasi mereka tah? Giliran gini aje pada koar-koar. Apalagi pas ada berita suami yang mau dengan sukarela vasektomi-",2025-04-30T23:17:26.000Z,positif,vasektomi bakar jembut heboh bener bahas hak asasi gimana cewek paksa kb gak ngerebut hak asasi tah gilir gin aje koarkoar pas berita suami sukarela vasektomi
twitter,Kalau bisa si Mulyadi suruh juga vasektomi...kalau udh vasektomi juga gw ikut vasektomi. Pemimpin harus jadi tauladan untuk rakyatnya.,2025-04-30T23:17:15.000Z,positif,si mulyadi suruh vasektomikalau udh vasektomi gw vasektomi pimpin tauladan rakyat
twitter,gilrian cewe KB ga ada tuh dimasalahin kaya gini..gilaran cowo vasektomi pada ribut emang keliatan cowo indonesia hampir 99% sangat patriaki,2025-04-30T23:16:25.000Z,positif,gilrian cewe kb ga tuh dimasalahin kaya ginigilaran cowo vasektomi ribut emang liat cowo indonesia patriaki
twitter,"Ketidakmampuan memberi nafkah itu ada sendiri solusinya dlm islam, bkn dgn vasektomi
Jd ketika Allah mengharamkan pemandulan bkn brarti Allah ga kasih jalan. Yg hrs dilakukan adl tempuh solusi tsb bkn berkompromi nyari solusi lain, efeknya nanti akan nimbulin masalah baru",2025-04-30T23:16:11.000Z,positif,ketidakmampuan nafkah solusi dlm islam bkn dgn vasektomi jd allah haram mandul bkn brarti allah ga kasih jalan yg hrs adl tempuh solusi tsb bkn kompromi nyari solusi efek nimbulin
twitter,ini laki-laki yang kagak setuju buat vasektomi keknya harga dirinya ke gores deh :v,2025-04-30T23:16:08.000Z,positif,lakilaki kagak tuju vasektomi kek harga gores deh v
twitter,"Kak fyi aja. Vasektomi itu ada yg gak permanen, dia bisa sewaktu2 dicabut & bisa punya anak lagi. Selain itu, biasanya syarat pria yg divasektomi udah berumur 35 th ke atas atau sudah punya 2 anak (cmiiw) jadi ga sembarangan pria bisa divasektomi gitu aja kak vasektomi≠kebiri",2025-04-30T23:15:58.000Z,positif,kak fyi aja vasektomi yg gak permanen cabut anak syarat pria yg vasektomi udah umur th anak cmiiw ga sembarang pria vasektomi gitu aja kak vasektomikebiri
twitter,"vasektomi itu bisa direverse, kalau mau nambah anak. Kondom disediakan gratis aja sama pemerintah ga diambil. KB suntik? Ya ke perempuan lagi kan bebannya. KB itu cocok2an. Coba baca side efek ke perempuan. Vasektomi itu kan buat yg udah punya 2 anak kok. So, where's the problem?",2025-04-30T23:15:51.000Z,positif,vasektomi direverse nambah anak kondom sedia gratis aja perintah ga ambil kb suntik ya perempuan beban kb cocok coba baca side efek perempuan vasektomi yg udah anak so wheres the problem
twitter,"takutnya kalo udah banyak yang vasektomi, ntar orang bejat jadi makin berani memperkosa soalnya risiko kehamilannya rendah",2025-04-30T23:14:54.000Z,positif,takut kalo udah vasektomi ntar orang bejat berani perkosa risiko hamil rendah
twitter,Mendorong laki laki untuk vasektomi emg ada manfaatnya kok. Cuma menjadikan vasektomi sbg syarat menerima bansos got me uneasy ngl. Wacana dedmul keliatannya lumayan menantang so I'm curious abt the outcome.,2025-04-30T23:06:51.000Z,negatif,dorong laki laki vasektomi emg manfaat jadi vasektomi sbg syarat terima bansos got me uneasy ngl wacana dedmul liat lumayan tantang so im curious abt the outcome
twitter,"Ya itu sama aja konsepnya broo sama org disuruh vasektomi buat dapetin haknya.

Ga nambah anak buat menimalisir kemiskinan sama ga nambah motor biar ga macet ya sama2 dianjurkan. Tapi gabisa dijadiin aturan.

Yg benernya ya rapihin sistem pendidikan (anak), sama transmum (motor)",2025-04-30T23:06:03.000Z,positif,ya aja konsep broo org suruh vasektomi dapetin hak ga nambah anak menimalisir miskin ga nambah motor biar ga macet ya anjur gabisa dijadiin atur yg benernya ya rapihin sistem didik anak transmum motor
twitter,"Lah? Ya gagitu. Gak ada pemaksaan semua orang miskin harus vasektomi, cuma kalo mau terima bansos aja itupun udh punya anak 2 dan itu yg harus disejahterakan , bukan yg anaknya sampe 8 biji tp cuma bisa makan kertas. Bansos buat 8 anak itu bisa dipake buat 2-4 keluarga lain.",2025-04-30T23:05:15.000Z,positif,ya gagitu gak paksa orang miskin vasektomi kalo terima bansos aja itu udh anak yg sejahtera yg anak sampe biji tp makan kertas bansos anak dipake keluarga
twitter,"daripada fokus vasektomi ke orang miskin, kenapa gak fokus untuk mengangkat status dengan cara memberikan lebih banyak lapangan pekerjaan ke mereka? kemiskinan itu rumit, gak semua bisa dibilang kesalahan pribadi, berapa banyak orang miskin karena phk akibat kebijakan pemerintah",2025-04-30T23:05:15.000Z,positif,fokus vasektomi orang miskin gak fokus angkat status lapang kerja miskin rumit gak bilang salah pribadi orang miskin phk akibat bijak perintah
twitter,"Pilih Bansos, atau Tidak Vasektomi? 99,9999% laki-laki pilih tidak vasektomi..

Yang jadi korban anak istrinya, jadi tidak  bisa menerima bansos.",2025-04-30T23:05:10.000Z,positif,pilih bansos vasektomi lakilaki pilih vasektomi korban anak istri terima bansos
twitter,"Sebut Satuan Polisi Pamong Praja Pekerjaan Paling Sial, Gubernur Jawa Barat Dedi Mulyadi: Mantagan Aing daripada Jadi Satpol PP Mending Jadi Gubernur

#1JUTA  #BUMN  #Ngeri #Jago #Tidur #Vasektomi",2025-04-30T23:04:34.000Z,positif,satu polisi pamong praja kerja sial gubernur jawa barat dedi mulyadi mantagan aing satpol pp mending gubernur juta bumn ngeri jago tidur vasektomi
twitter,"Topiknya bukan soal vasektominya, tapi pemaksaannya dg ancaman haknya tidak diberikan. Penyanderaan hak. Bansos ya hak yang harus diberikan pemerintah ke rakyat miskin tanpa harus diwajibkan vasektomi/tubektomi.",2025-04-30T23:04:25.000Z,positif,topik vasektomi paksa dg ancam hak sandera hak bansos ya hak perintah rakyat miskin wajib vasektomitubektomi
twitter,vasektomi dulu karena mau usluk usluk sama gedebog gedang,2025-04-30T23:04:09.000Z,positif,vasektomi usluk usluk gedebog gedang
twitter,"Banyak pro kontra masalah vasektomi buat keluarga yg masih blm hidup layak buat diri sendiri dan keluarganya. Gw guru di sekolah kumis, nyatanya emang miris dan banyak liat keluarga begitu. Tanggung jawab dan hak ke anaknya jauhhhh dari terpenuhi. Tapi, ortunya beranak mulu",2025-04-30T23:03:42.000Z,positif,pro kontra vasektomi keluarga yg blm hidup layak keluarga gw guru sekolah kumis emang miris liat keluarga tanggung hak anak jauhhhh penuh ortunya anak mulu
twitter,"laki tuh selalu dimanja ya sm society sampe kesetaraan berupa vasektomi aja kok kyk bakal mati besok aja, noh istri lu melahirkan n swallowing tons of pil kb's side effects til her menopause come

ya kl lu msh bergantung sm bansos gausah ngide berkeluarga atau punya anak (terus)",2025-04-30T23:03:37.000Z,positif,laki tuh manja ya sm society sampe tara vasektomi aja kyk mati besok aja noh istri lu lahir n swallowing tons of pil kbs side effects til her menopause come ya kl lu msh gantung sm bansos gausah ngide keluarga anak
twitter,"Ini pakai asumsi kalau bansos dan beasiswa untuk rakyat miskin yang ga bakal vasektomi akan distop dan bantuan-bantuan yang sudah ada hanya akan disalurkan ke keluarga yang ikut vasektomi, tapi aku belum liat bukti untuk itu dan kuliat bukan itu rencana pemerintah (cmiiw)",2025-04-30T23:02:51.000Z,positif,pakai asumsi bansos beasiswa rakyat miskin ga vasektomi stop bantuanbantuan salur keluarga vasektomi liat bukti liat rencana perintah cmiiw
twitter,"Coba programnya bukan KB vasektomi, tapi KB pil atau suntik dll yg buat perempuan. Pasti kalian juga pada setuju wkwk
Lagian kan kalian kemaren setuju kalo orang miskin punya banyak anak itu kasian anaknya, yg solusinya ortunya KB. Gimana sih warga x si paling pinter ini?",2025-04-30T23:02:00.000Z,positif,coba program kb vasektomi kb pil suntik dll yg perempuan tuju wkwk kemaren tuju kalo orang miskin anak kasi anak yg solusi ortunya kb gimana sih warga x si pinter
twitter,"Justru kesannya sekarang memiliki kebebasan memilih metode KB senyamannya itu jdi privilege org kaya doang. Org miskin tidak punya kebebasan memilih metode KB, pokoknya mau bansos harus vasektomi. ""Bu bidan saya mau IUD"" ""wah nanti kamu gak dpt bansos. Harus suami vasektomi"" ",2025-04-30T23:00:37.000Z,positif,kesan milik bebas pilih metode kb nyaman jdi privilege org kaya doang org miskin bebas pilih metode kb pokok bansos vasektomi bu bidan iud gak dpt bansos suami vasektomi
twitter,"Ini orang satu asal ceplas ceplos, padahal yang di bahas itu “mewajibkan” vasektomi untuk dapet bansos.

Udah ada regulasinyang mengatur bahwa bansos itu kewajiban negara, dan untuk melanjutkan keturunan adalah hak manusia. Emangnya ada yang “mewajibkan” KB?? Kan tida. Dongok",2025-04-30T23:00:35.000Z,positif,orang ceplas ceplos bahas wajib vasektomi dapet bansos udah regulasinyang atur bansos wajib negara lanjut turun hak manusia emang wajib kb tida dongok
twitter,"Vasektomi itu bagus selama datang dari pihak yang ingin di-vasektomi. Kalau dipaksa pemerintah, melanggar hak otoritas tubuh warga negara itu namanya.",2025-04-30T22:59:56.000Z,positif,vasektomi bagus vasektomi paksa perintah langgar hak otoritas tubuh warga negara nama
twitter,"Di X yang lagi ramai masalah vasektomi, blaming orang miskin sampai segitunya ",2025-04-30T22:58:18.000Z,positif,x ramai vasektomi blaming orang miskin segitunya
twitter,konteks : feminis yang ngedukung program vasektomi paksa KDM,2025-04-30T22:58:02.000Z,netral,konteks finis ngedukung program vasektomi paksa kdm
twitter,"Vasektomi syarat bansos sudah bukan lagi jahat, iblis. Orang miskin tidak pernah dilihat sebagai manusia hanya sumber masalah saja, giliran perkara cari suara baru disebut dan dirayu. Pernah nggak sih bansos yang dievaluasi?",2025-04-30T22:57:45.000Z,positif,vasektomi syarat bansos jahat iblis orang miskin manusia sumber gilir perkara cari suara rayu nggak sih bansos evaluasi
twitter,"Negara hadir untuk melindungi rakyat bukan sebaliknya, ada amanat UU45 psl 34 & UU no. 13 th 2011 yg hrs dijalankan. Kamu pikir org jd miskin disengaja? Zaman orba yg tingkat pendidikan rakyat jauh lebih rendah & kemiskinannya lebih tinggi tdk pernah pakai syarat wajib vasektomi.",2025-04-30T22:56:51.000Z,positif,negara hadir lindung rakyat amanat uu psl uu no th yg hrs jalan pikir org jd miskin sengaja zaman orba yg tingkat didik rakyat rendah miskin tdk pakai syarat wajib vasektomi
